Array Element	Locus Identifier	Annotation
A_84_P579060	AT1G20400	myosin heavy chain-related
A_84_P255520	AT2G02370	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G12450.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22255.1); contains InterPro domain SNARE associated Golgi protein (InterPro:IPR015414)
A_84_P169583	AT1G64950	"CYP89A5 (cytochrome P450, family 87, subfamily A, polypeptide 5); oxygen binding"
A_84_P103616	AT1G59980	ARL2/ATDJC39 (ARG1-LIKE2); heat shock protein binding / unfolded protein binding
A_84_P234793	AT2G30000	Identical to Uncharacterized protein At1g07170/At2g30000 [Arabidopsis Thaliana] (GB:O80873); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G07170.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G07170.1); similar to Os04g0663300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054163.1); similar to unknown [Picea sitchensis] (GB:ABK20981.1); contains InterPro domain PHF5-like (InterPro:IPR005345)
A_84_P734977	AT1G09310	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G56580.1); similar to unknown [Populus trichocarpa] (GB:ABK94207.1); contains InterPro domain Protein of unknown function DUF538 (InterPro:IPR007493)
A_84_P815281	AT4G26530	"fructose-bisphosphate aldolase, putative"
A_84_P827540	AT2G25740	ATP-dependent protease La (LON) domain-containing protein
A_84_P10572	AT1G25390	protein kinase family protein
A_84_P15844	AT5G10770	"chloroplast nucleoid DNA-binding protein, putative"
A_84_P863732	AT1G54260	histone H1/H5 family protein
A_84_P192494	AT1G53640	unknown protein
A_84_P765960	AT5G36810	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G36722.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO43507.1)
A_84_P18866	AT5G20690	"leucine-rich repeat transmembrane protein kinase, putative"
A_84_P23778	AT1G29940	NRPA2 (nuclear RNA polymerase A 2); DNA-directed RNA polymerase
A_84_P12609	AT2G07320	transposable element gene
A_84_P823079	AT5G24290	integral membrane family protein
A_84_P787702	AT3G61640	AGP20 (ARABINOGALACTAN PROTEIN 20)
A_84_P803388	AT4G23670	major latex protein-related / MLP-related
A_84_P503244	AT4G08593	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G45095.1)
A_84_P15614	AT3G54070	ankyrin repeat family protein
A_84_P832725	AT5G65600	legume lectin family protein / protein kinase family protein
A_84_P13165	AT5G65320	basic helix-loop-helix (bHLH) family protein
A_84_P15028	AT5G59260	"lectin protein kinase, putative"
A_84_P12272	AT2G04025	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G13620.1)
A_84_P505607	AT2G17055	disease resistance protein-related
A_84_P231259	AT5G12330	LRP1 (LATERAL ROOT PRIMORDIUM 1)
A_84_P10229	AT5G39040	"ATTAP2 (Arabidopsis thaliana transporter associated with antigen processing protein 2); ATPase, coupled to transmembrane movement of substances"
A_84_P12929	AT4G32660	AME3; kinase
A_84_P199934	AT3G59120	DC1 domain-containing protein
A_84_P757632	AT2G32785	Encodes a Rapid ALkalinization Factor (RALF) family protein
A_84_P20401	AT4G04150	transposable element gene
A_84_P846906	AT2G43160	epsin N-terminal homology (ENTH) domain-containing protein
A_84_P756714	AT2G14475	"pseudogene, similar to putative beta proteasome subunit, blastp match of 64% identity and 2.7e-16 P-value to GP|14594921|emb|CAC43321.1||AJ291736 putative beta proteasome subunit {Nicotiana tabacum}"
A_84_P761519	AT3G01331	Encodes a ECA1 gametogenesis related family protein
A_84_P553153	AT5G57790	unknown protein
A_84_P20494	AT4G32520	SHM3 (SERINE HYDROXYMETHYLTRANSFERASE 3); glycine hydroxymethyltransferase
A_84_P13897	AT4G38810	calcium-binding EF hand family protein
A_84_P15720	AT4G22620	auxin-responsive family protein
A_84_P531352	AT2G25605	similar to unnamed protein product [Vitis vinifera] (GB:CAO44153.1)
A_84_P15389	AT2G29570	PCNA2 (PROLIFERATING CELL NUCLEAR ANTIGEN 2); DNA binding / DNA polymerase processivity factor
A_84_P111592	AT2G16220	F-box family protein
A_84_P13959	AT5G12130	PDE149 (PIGMENT DEFECTIVE 149)
A_84_P19521	AT4G26440	WRKY34 (MICROSPORE-SPECIFIC PROMOTER 3); transcription factor
A_84_P808351	AT4G32240	unknown protein
A_84_P548286	AT3G05090;AT3G05080	"[AT3G05090, transducin family protein / WD-40 repeat family protein];[AT3G05080, unknown protein]"
A_84_P860443	AT2G01720	ribophorin I family protein
A_84_P15346	AT2G15680;AT2G15690	"[AT2G15680, calmodulin-related protein, putative];[AT2G15690, pentatricopeptide (PPR) repeat-containing protein]"
A_84_P563059	AT1G29000	heavy-metal-associated domain-containing protein
A_84_P197124	AT3G23530	"cyclopropane fatty acid synthase, putative / CPA-FA synthase, putative"
A_84_P18728	AT5G35450	"disease resistance protein (CC-NBS-LRR class), putative"
A_84_P288240	AT3G29763	similar to hAT dimerisation domain-containing protein [Arabidopsis thaliana] (TAIR:AT3G29765.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G09660.1); similar to hAT dimerisation domain-containing protein [Arabidopsis thaliana] (TAIR:AT1G19260.1); similar to putative transposase [Oryza sativa] (GB:AAL79684.1); contains domain PTHR11697:SF9 (PTHR11697:SF9); contains domain PTHR11697 (PTHR11697)
A_84_P18526	AT4G10780	"disease resistance protein (CC-NBS-LRR class), putative"
A_84_P541660	AT5G63830	zinc finger (HIT type) family protein
A_84_P754740	AT1G30814	"contains InterPro domain Zinc finger, LSD1-type (InterPro:IPR005735)"
A_84_P22699	AT1G23540	protein kinase family protein
A_84_P820084	AT4G29060	EMB2726 (EMBRYO DEFECTIVE 2726); translation elongation factor
A_84_P15779	AT4G35860	ATGB2/ATRAB2C/ATRABB1B (GTP-BINDING 2); GTP binding
A_84_P608949	AT4G15450	senescence/dehydration-associated protein-related
A_84_P809109	AT4G14270	Protein containing PAM2 motif which mediates interaction with the PABC domain of polyadenyl binding proteins.
A_84_P574954	AT3G18700	"similar to ACA.L (AUTOINHIBITED CA2+/ATPASE II), ATPase, coupled to transmembrane movement of ions, phosphorylative mechanism / calmodulin binding [Arabidopsis thaliana] (TAIR:AT1G13210.1)"
A_84_P759542	AT3G44793;AT1G59770	"[AT3G44793, transposable element gene];[AT1G59770, transposable element gene]"
A_84_P828945	AT4G24450	"ATGWD2/GWD3/PWD (PHOSPHOGLUCAN, WATER DIKINASE); ATP binding / kinase"
A_84_P826703	AT2G23340	"AP2 domain-containing transcription factor, putative"
A_84_P844702	AT4G03880	transposable element gene
A_84_P58690	AT5G39280	ATEXPA23 (ARABIDOPSIS THALIANA EXPANSIN A23)
A_84_P298154	AT4G17310	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G47455.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G47455.3); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G47455.6); similar to hypothetical protein 25.t00029 [Brassica oleracea] (GB:ABD64980.1)
A_84_P849479	AT3G09820	ADK1 (ADENOSINE KINASE 1)
A_84_P238433	AT5G37300	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G38995.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48523.1); contains InterPro domain Protein of unknown function UPF0089 (InterPro:IPR004255); contains InterPro domain Protein of unknown function DUF1298 (InterPro:IPR009721)
A_84_P817813	AT3G46440	UXS5 (UDP-Xyl synthase 5); catalytic
A_84_P18185	AT2G40500	protein kinase family protein
A_84_P20339	AT3G53210	nodulin MtN21 family protein
A_84_P806792	AT3G17790	ATACP5 (acid phosphatase 5); acid phosphatase/ protein serine/threonine phosphatase
A_84_P761158	AT2G21725;AT3G30245	"[AT2G21725, Encodes a defensin-like (DEFL) family protein.];[AT3G30245, Encodes a defensin-like (DEFL) family protein.]"
A_84_P22203	AT3G46650	UDP-glucoronosyl/UDP-glucosyl transferase family protein
A_84_P809900	AT3G12120	FAD2 (FATTY ACID DESATURASE 2); delta12-fatty acid dehydrogenase
A_84_P513687	AT2G47540	pollen Ole e 1 allergen and extensin family protein
A_84_P869119	AT2G29980	FAD3 (FATTY ACID DESATURASE 3); omega-3 fatty acid desaturase
A_84_P844150	AT4G30940	potassium channel tetramerisation domain-containing protein
A_84_P582930	AT3G01830	"calmodulin-related protein, putative"
A_84_P18313	AT3G10570	"CYP77A6 (cytochrome P450, family 77, subfamily A, polypeptide 6); oxygen binding"
A_84_P66984	AT1G64360	unknown protein
A_84_P11575	AT2G31530	EMB2289/SCY2 (EMBRYO DEFECTIVE 2289); P-P-bond-hydrolysis-driven protein transmembrane transporter
A_84_P548554	AT4G33355	lipid binding
A_84_P564055	AT1G74045	TET17 (TETRASPANIN16)
A_84_P162503	AT4G18580	unknown protein
A_84_P17563	AT1G23320	alliinase family protein
A_84_P13102	AT5G48930	transferase family protein
A_84_P835471	AT2G34080	"cysteine proteinase, putative"
A_84_P88469	AT3G18940	clast3-related
A_84_P737687	AT1G69252	other RNA
A_84_P124711	AT4G25520	SLK1 (SEUSS-LIKE 1); transcription regulator
A_84_P863449	AT2G47770	benzodiazepine receptor-related
A_84_P94079	AT1G70900	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G23110.3); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G23110.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G23110.2); similar to hypothetical protein [Vitis vinifera] (GB:CAN77015.1)
A_84_P308933	AT3G03490	PEX19-1 (PEROXIN 19-1)
A_84_P845058	AT4G18770	MYB98 (myb domain protein 98); DNA binding / transcription factor
A_84_P752776	AT1G67775	CLE8 (CLAVATA3/ESR-RELATED 8)
A_84_P821772	AT4G31010	DNA binding
A_84_P737380	AT4G11211	unknown protein
A_84_P191954	AT1G77270	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G07730.1); similar to predicted protein [Physcomitrella patens subsp. patens] (GB:EDQ75856.1); similar to Os04g0539100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053436.1); similar to Hypothetical protein CBG09238 [Caenorhabditis briggsae AF16] (GB:XP_001674299.1)
A_84_P12552	AT2G29360	"tropinone reductase, putative / tropine dehydrogenase, putative"
A_84_P758852	AT3G42650	transposable element gene
A_84_P756510	ATMG00570;AT2G07716	"[ATMG00570, encodes a protein of unknown function. The transcript has extensive RNA editing at the 3' end. Protein has orthologous in other plants and sequence is similar to E. coli ORFs orf154 and orf131, both of unknown function. So far, similar proteins are found only in plants and prokaryotes.];[AT2G07716, pseudogene, similar to orfx, blastp match of 85% identity and 5.5e-116 P-value to GP|287897|emb|CAA42649.1||X60046 orfx {Oenothera berteriana}]"
A_84_P502380	AT4G19970	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G44820.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO46707.1); contains domain PTHR10483:SF6 (PTHR10483:SF6); contains domain PTHR10483 (PTHR10483)
A_84_P19577	AT4G13930	SHM4 (SERINE HYDROXYMETHYLTRANSFERASE 4); glycine hydroxymethyltransferase
A_84_P20437	AT4G19530	"disease resistance protein (TIR-NBS-LRR class), putative"
A_84_P584092	AT4G28088	"hydrophobic protein, putative / low temperature and salt responsive protein, putative"
A_84_P833017	AT5G15020	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G01320.1); similar to paired amphipathic helix repeat-containing protein [Arabidopsis thaliana] (TAIR:AT1G70060.1); similar to ATSIN3/SIN3 (Arabidopsis thaliana sin3 homolog) [Arabidopsis thaliana] (TAIR:AT1G24190.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO40976.1); similar to hypothetical protein OsJ_000071 [Oryza sativa (japonica cultivar-group)] (GB:EAZ10246.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14871.1); contains InterPro domain Histone deacetylase interacting (InterPro:IPR013194); contains InterPro domain Paired amphipathic helix; (InterPro:IPR003822)
A_84_P307240	AT2G01670	ATNUDT17 (Arabidopsis thaliana Nudix hydrolase homolog 17); hydrolase
A_84_P813583	AT3G62980	TIR1 (TRANSPORT INHIBITOR RESPONSE 1); ubiquitin-protein ligase
A_84_P15144	AT1G67328;AT1G67330	"[AT1G67328, other RNA];[AT1G67330, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G27930.1); similar to unknown [Populus trichocarpa] (GB:ABK93495.1); contains InterPro domain Protein of unknown function DUF579, plant (InterPro:IPR006514)]"
A_84_P755846	AT2G05730;AT2G05740	"[AT2G05730, putative cytosine DNA-methyltransferase, fragment/pseudogene,  blastp match of 80% identity and 2.3e-23 P-value to GP|10257413|gb|AAG15406.1||AF229183 cytosine-5 DNA methyltransferase MET1 {Zea mays}];[AT2G05740, pseudogene, fragment of cytosine DNA-methyltransferase,  blastp match of 79% identity and 1.2e-21 P-value to GP|10257413|gb|AAG15406.1||AF229183 cytosine-5 DNA methyltransferase MET1 {Zea mays}]"
A_84_P21736	AT3G06895;AT3G06900	"[AT3G06895, unknown protein];[AT3G06900, U4.2; snRNA]"
A_84_P20493	AT4G32300	lectin protein kinase family protein
A_84_P17269	AT2G32300	UCC1 (UCLACYANIN 1); copper ion binding
A_84_P52990	AT5G16570	GLN1;4 (Glutamine synthetase 1;4); glutamate-ammonia ligase
A_84_P803433	AT4G37400	"CYP81F3 (cytochrome P450, family 81, subfamily F, polypeptide 3); oxygen binding"
A_84_P11737	AT3G21800	UDP-glucoronosyl/UDP-glucosyl transferase family protein
A_84_P508358	AT2G45860	unknown protein
A_84_P852482	AT3G05660	kinase/ protein binding
A_84_P585674	AT3G17240	LPD2 (LIPOAMIDE DEHYDROGENASE 2); FAD binding / dihydrolipoyl dehydrogenase/ oxidoreductase
A_84_P605726	AT2G27520	F-box family protein
A_84_P21870	AT1G18500	IPMS1/MAML-4 (METHYLTHIOALKYLMALATE SYNTHASE-LIKE 4); 2-isopropylmalate synthase
A_84_P116942	AT4G02270	pollen Ole e 1 allergen and extensin family protein
A_84_P70194	AT1G30240	binding
A_84_P543201	AT4G24950	unknown protein
A_84_P708146	AT1G01453	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G01110.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39716.1); contains InterPro domain Harpin-induced 1 (InterPro:IPR010847)
A_84_P793525	AT3G06470	GNS1/SUR4 membrane family protein
A_84_P275080	AT3G61130	"GAUT1/LGT1 (Galacturonosyltransferase 1); polygalacturonate 4-alpha-galacturonosyltransferase/ transferase, transferring glycosyl groups"
A_84_P270930	AT2G39730	RCA (RUBISCO ACTIVASE)
A_84_P812373	AT5G01410	PDX1 (PYRIDOXINE BIOSYNTHESIS 1.3); protein heterodimerization/ protein homodimerization
A_84_P16279	AT2G19730	60S ribosomal protein L28 (RPL28A)
A_84_P824426	AT4G36860	zinc ion binding
A_84_P18936	AT1G03470	kinase interacting family protein
A_84_P16429	AT3G04590	DNA-binding family protein
A_84_P175541	AT5G41070	DRB5 (DSRNA-BINDING PROTEIN 5); double-stranded RNA binding
A_84_P15770	AT4G34030	MCCB (3-METHYLCROTONYL-COA CARBOXYLASE); biotin carboxylase
A_84_P808127	AT4G16845	VRN2 (REDUCED VERNALIZATION RESPONSE 2); transcription factor
A_84_P518042	AT2G20700	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G28280.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69731.1)
A_84_P12017	AT4G15270	glucosyltransferase-related
A_84_P798312	AT1G10120	DNA binding / transcription factor
A_84_P811397	AT1G42970	GAPB (GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE B SUBUNIT); glyceraldehyde-3-phosphate dehydrogenase
A_84_P13419	AT1G80090	CBS domain-containing protein
A_84_P785166	AT1G56290	CwfJ-like family protein
A_84_P560906	AT4G23160	protein kinase family protein
A_84_P601683	AT3G13227	serine-rich protein-related
A_84_P152018	AT2G14910	similar to amine oxidase/ copper ion binding / quinone binding [Arabidopsis thaliana] (TAIR:AT5G14970.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO70864.1)
A_84_P845678	AT5G07910	leucine-rich repeat family protein
A_84_P833529	AT2G25730	binding / heme binding
A_84_P279890	AT5G22610	F-box family protein
A_84_P854492	AT3G21755;AT3G21760	"[AT3G21755, other RNA];[AT3G21760, UDP-glucoronosyl/UDP-glucosyl transferase family protein]"
A_84_P851247	AT5G28237	"tryptophan synthase, beta subunit, putative"
A_84_P21304	AT3G57310	protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
A_84_P23978	AT3G01640	GHMP kinase family protein
A_84_P14232	AT1G11860	"aminomethyltransferase, putative"
A_84_P12304	AT1G03890	cupin family protein
A_84_P200744	AT4G02880	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G03290.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22500.1)
A_84_P289224	AT2G46320	mitochondrial substrate carrier family protein
A_84_P15595	AT3G49970	"phototropic-responsive protein, putative"
A_84_P801001	AT4G17340	DELTA-TIP2/TIP2;2 (tonoplast intrinsic protein 2;2); water channel
A_84_P21665	AT5G62410	SMC2 (STRUCTURAL MAINTENANCE OF CHROMOSOMES 2)
A_84_P814075	AT3G03100	NADH:ubiquinone oxidoreductase family protein
A_84_P601515	AT2G05642	"similar to replication protein-related [Arabidopsis thaliana] (TAIR:AT1G52950.1); similar to Os07g0190600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059088.1); similar to hypothetical protein OsI_024302 [Oryza sativa (indica cultivar-group)] (GB:EAZ03070.1); contains InterPro domain Protein of unknown function DUF223, Arabidopsis thaliana (InterPro:IPR003871); contains InterPro domain Nucleic acid-binding, OB-fold (InterPro:IPR012340); contains InterPro domain Nucleic acid-binding, OB-fold-like (InterPro:IPR016027)"
A_84_P792401	AT3G26445	glycosyl transferase family 17 protein
A_84_P10747	AT1G53700	WAG1; kinase
A_84_P538646	AT3G44180	syntaxin-related family protein
A_84_P13879	AT4G33970	leucine-rich repeat family protein / extensin family protein
A_84_P595608	AT4G12140	zinc finger (C3HC4-type RING finger) family protein
A_84_P15035	AT5G60730	anion-transporting ATPase family protein
A_84_P78865	AT4G14710	ATARD2; acireductone dioxygenase [iron(II)-requiring]/ metal ion binding
A_84_P758811	AT3G29773	"pseudogene, similar to OSJNBb0043H09.1,  blastp match of 34% identity and 6.6e-21 P-value to GP|21740634|emb|CAD40195.1||AL606611 OSJNBb0043H09.1 {Oryza sativa (japonica cultivar-group)}"
A_84_P304930	AT3G60520	zinc ion binding
A_84_P769271	AT5G26848	unknown protein
A_84_P545024	AT4G36270	"ATP-binding region, ATPase-like domain-containing protein"
A_84_P606546	AT5G55270	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G55890.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G55880.1); contains InterPro domain Protein of unknown function DUF295 (InterPro:IPR005174)
A_84_P858309	AT5G24320	WD-40 repeat family protein
A_84_P19140	AT2G47590	PHR2 (PHOTOLYASE/BLUE-LIGHT RECEPTOR 2)
A_84_P823120	AT1G61150	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G11110.1); similar to unknown [Picea sitchensis] (GB:ABK23060.1); contains InterPro domain CT11-RanBPM (InterPro:IPR013144); contains InterPro domain LisH dimerisation motif, subgroup (InterPro:IPR013720); contains InterPro domain LisH dimerisation motif (InterPro:IPR006594); contains InterPro domain CTLH, C-terminal to LisH motif (InterPro:IPR006595)"
A_84_P15386	AT2G25160	"CYP82F1 (cytochrome P450, family 82, subfamily F, polypeptide 1); oxygen binding"
A_84_P589700	AT5G53040	RWP-RK domain-containing protein
A_84_P189724	AT2G11200	F-box family protein
A_84_P17610	AT4G22130	SRF8 (STRUBBELIG-RECEPTOR FAMILY 8); kinase
A_84_P69324	AT3G05320	similar to unnamed protein product [Vitis vinifera] (GB:CAO44440.1)
A_84_P257990	AT3G48350	"cysteine proteinase, putative"
A_84_P16556	AT3G53330	plastocyanin-like domain-containing protein
A_84_P554896	AT5G47455	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G17310.1); similar to transcription factor [Arabidopsis thaliana] (TAIR:AT4G17310.2); similar to hypothetical protein 25.t00029 [Brassica oleracea] (GB:ABD64980.1)
A_84_P798417	AT2G47590	PHR2 (PHOTOLYASE/BLUE-LIGHT RECEPTOR 2)
A_84_P786130	AT1G08880	G-H2AX/GAMMA-H2AX/H2AXA/HTA5; DNA binding
A_84_P611800	AT5G24180	lipase class 3-related
A_84_P728197	AT2G16225	Encodes a Maternally expressed gene (MEG) family protein
A_84_P591494	AT5G27810	sequence-specific DNA binding / transcription factor
A_84_P293404	AT4G23330	eukaryotic translation initiation factor-related
A_84_P757434	AT2G25344	LCR14 (Low-molecular-weight cysteine-rich 14)
A_84_P16769	AT5G04630	"CYP77A9 (cytochrome P450, family 77, subfamily A, polypeptide 9); oxygen binding"
A_84_P805209	AT1G62740	"stress-inducible protein, putative"
A_84_P754657	AT1G16025;AT1G16022	"[AT1G16025, unknown protein];[AT1G16022, unknown protein]"
A_84_P588990	AT1G73450	"protein kinase, putative"
A_84_P834569	AT3G16340	"ATPDR1/PDR1 (PLEIOTROPIC DRUG RESISTANCE 1); ATPase, coupled to transmembrane movement of substances"
A_84_P22144	AT3G27060	TSO2 (TSO MEANING 'UGLY' IN CHINESE); ribonucleoside-diphosphate reductase
A_84_P797583	ATMG01040	hypothetical protein
A_84_P529780	AT3G50250	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G19270.1)
A_84_P88419	AT3G42255	transposable element gene
A_84_P762426	AT3G49670;AT3G49668	"[AT3G49670, BAM2 (big apical meristem 2); ATP binding / protein serine/threonine kinase];[AT3G49668, other RNA]"
A_84_P237633	AT2G19640	ASHR2 (ASH1-RELATED PROTEIN 2)
A_84_P23747	AT1G10900	phosphatidylinositol-4-phosphate 5-kinase family protein
A_84_P20253	AT3G18650	AGL103 (AGAMOUS-LIKE 103); transcription factor
A_84_P544160	AT5G05380	prenylated rab acceptor (PRA1) family protein
A_84_P528051	AT3G59180	similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT3G59210.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO63564.1); contains InterPro domain Leucine-rich repeat 2 (InterPro:IPR013101); contains InterPro domain FBD-like (InterPro:IPR006566)
A_84_P755788	AT2G15940;AT1G42110	"[AT2G15940, transposable element gene];[AT1G42110, transposable element gene]"
A_84_P12955	AT4G39500	"CYP96A11 (cytochrome P450, family 96, subfamily A, polypeptide 11); oxygen binding"
A_84_P100996	AT2G09990	40S ribosomal protein S16 (RPS16A)
A_84_P189994	AT1G52590	"Identical to DCC family protein At1g52590, chloroplast precursor [Arabidopsis Thaliana] (GB:Q9SSR1;GB:Q8L9T1); similar to RNase H domain-containing protein [Arabidopsis thaliana] (TAIR:AT1G24090.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO62758.1); contains InterPro domain Putative thiol-disulphide oxidoreductase DCC (InterPro:IPR007263)"
A_84_P838530	AT4G05090	inositol monophosphatase family protein
A_84_P612042	AT1G26840	ATORC6/ORC6 (Origin recognition complex protein 6); DNA binding
A_84_P812089	AT3G18890	binding / catalytic/ coenzyme binding
A_84_P14815	AT4G31720	TAFII15 (SALT TOLERANCE DURING GERMINATION 1); transcription factor
A_84_P23142	AT3G45260	zinc finger (C2H2 type) family protein
A_84_P768146	AT5G48515	Encodes a defensin-like (DEFL) family protein.
A_84_P20149	AT2G04570	GDSL-motif lipase/hydrolase family protein
A_84_P133365	AT1G73460	protein kinase family protein
A_84_P763160	AT4G19510	"disease resistance protein (TIR-NBS-LRR class), putative"
A_84_P14291	AT1G55670	PSAG
A_84_P78629	AT4G05050	UBQ11 (UBIQUITIN 11); protein binding
A_84_P23093	AT3G18520	HDA15 (HISTONE DEACETYLASE 15); histone deacetylase
A_84_P23826	AT1G31930	XLG3 (EXTRA-LARGE GTP-BINDING PROTEIN 3); signal transducer
A_84_P17650	AT4G31020	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G24320.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22751.1); contains domain PTHR12277:SF8 (PTHR12277:SF8); contains domain PTHR12277 (PTHR12277); contains domain SSF53474 (SSF53474); contains domain G3DSA:3.40.50.1820 (G3DSA:3.40.50.1820)
A_84_P14578	AT3G27120	ATPase
A_84_P11019	AT4G28050	TET7 (TETRASPANIN7)
A_84_P23285	AT4G21960	PRXR1 (peroxidase 42); peroxidase
A_84_P765542	AT4G31408	other RNA
A_84_P12689	AT1G26680	transcriptional factor B3 family protein
A_84_P170243	AT2G44600	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G60200.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO70455.1)
A_84_P808161	AT5G47700	60S acidic ribosomal protein P1 (RPP1C)
A_84_P765683	AT4G23215	pseudogene of cysteine-rich receptor-like protein kinase family protein
A_84_P159655	AT2G36020	HVA22J (HVA22-LIKE PROTEIN J)
A_84_P225009	AT3G27480	DC1 domain-containing protein
A_84_P815320	AT5G04410	NAC2 (Arabidopsis NAC domain containing protein 78); transcription factor
A_84_P12619	AT1G44800	nodulin MtN21 family protein
A_84_P18491	AT3G63510	FAD binding / catalytic/ tRNA dihydrouridine synthase
A_84_P18814	AT5G59670	"leucine-rich repeat protein kinase, putative"
A_84_P834799	AT4G03960	tyrosine specific protein phosphatase family protein
A_84_P807790	AT3G04840	40S ribosomal protein S3A (RPS3aA)
A_84_P812121	AT2G02390	ATGSTZ1 (GLUTATHIONE S-TRANSFERASE 18); glutathione transferase
A_84_P264710	AT2G44820	similar to unnamed protein product [Vitis vinifera] (GB:CAO67279.1)
A_84_P826860	AT3G25070	RIN4 (RPM1 INTERACTING PROTEIN 4); protein binding
A_84_P859835	AT2G44060	late embryogenesis abundant family protein / LEA family protein
A_84_P507109	AT1G05085	unknown protein
A_84_P227499	AT2G37820	DC1 domain-containing protein
A_84_P768107	AT5G38317	LCR58 (Low-molecular-weight cysteine-rich 58)
A_84_P293174	AT2G02100	LCR69/PDF2.2 (Low-molecular-weight cysteine-rich 69); protease inhibitor
A_84_P829767	AT2G02820	MYB88 (myb domain protein 88); DNA binding / transcription factor
A_84_P610781	AT4G25870	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G57270.3); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G57270.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G57270.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO64039.1); contains InterPro domain Protein of unknown function DUF266, plant (InterPro:IPR004949)"
A_84_P15310	AT1G29730	kinase/ protein serine/threonine kinase
A_84_P16522	AT3G45640	ATMPK3 (MITOGEN-ACTIVATED PROTEIN KINASE 3); MAP kinase/ kinase/ protein kinase
A_84_P12532	AT2G03840	TET13 (TETRASPANIN13)
A_84_P14044	AT1G29540	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G34330.1)
A_84_P15257	AT1G48640	"lysine and histidine specific transporter, putative"
A_84_P851864	AT1G50420	SCL3 (SCARECROW-LIKE 3); transcription factor
A_84_P15799	AT4G15490	"UGT84A3; UDP-glycosyltransferase/ sinapate 1-glucosyltransferase/ transferase, transferring glycosyl groups"
A_84_P276110	AT3G59470	far-red impaired responsive family protein / FAR1 family protein
A_84_P123762	AT3G03590	SWIB complex BAF60b domain-containing protein
A_84_P755885	AT2G21890;AT2G21730	"[AT2G21890, mannitol dehydrogenase, putative];[AT2G21730, mannitol dehydrogenase, putative]"
A_84_P81609	AT4G18060	SH3 domain-containing protein 3 (SH3P3)
A_84_P10370	AT5G04230	PAL3 (PHENYL ALANINE AMMONIA-LYASE 3); phenylalanine ammonia-lyase
A_84_P558306	AT5G01910	similar to unnamed protein product [Vitis vinifera] (GB:CAO48882.1)
A_84_P561025	AT5G18340	U-box domain-containing protein
