Array Element,Annotation
254951_at,kinesin light chain-related
252296_at,copper-binding family protein
252044_at,ATOEP7/OEP7 (OUTER ENVELOPE MEMBRANE PROTEIN 7)
259679_at,protein kinase family protein
260856_at,AP2 domain-containing transcription factor family protein
254476_at,GSNAP (GAMMA-SOLUBLE NSF ATTACHMENT PROTEIN); transporter
253303_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G69935.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO49867.1)
254005_at,ATSBT3.18/UNE17 (UNFERTILIZED EMBRYO SAC 17); subtilase
259035_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO15639.1)
246817_at,DNAJ heat shock N-terminal domain-containing protein
257903_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN74970.1); contains InterPro domain Protein of unknown function methylase putative (InterPro:IPR016065)
246933_at,ZFP3 (ZINC FINGER PROTEIN 3); nucleic acid binding / transcription factor/ zinc ion binding
255358_at,unknown protein
265992_at,leucine-rich repeat transmembrane protein kinase_ putative
260084_at,RNA binding / hydrolase_ acting on ester bonds / protein binding / transcription elongation regulator
258495_at,integral membrane family protein
263565_at,FUT4 (fucosyltransferase 4); fucosyltransferase/ transferase_ transferring glycosyl groups
256433_at,SAG20 (WOUND-INDUCED PROTEIN 12)
261933_at,2-dehydro-3-deoxyphosphoheptonate aldolase_ putative / 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase_ putative / DAHP synthetase_ putative
261781_at,FRS4 (FAR1-RELATED SEQUENCE 4); zinc ion binding
260731_at,ATPase_ coupled to transmembrane movement of ions_ phosphorylative mechanism
260476_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G61030.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO16922.1); contains domain gb def: Hypothetical protein T19D16.5 (PTHR22100:SF10); contains domain FAMILY NOT NAMED (PTHR22100)
258420_at,DNA binding / DNA-directed RNA polymerase
266592_at,delta-8 sphingolipid desaturase_ putative
252345_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G66670.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G66670.1)
261419_at,leucine zipper factor-related
249999_at,lipase class 3 family protein
247488_at,similar to MtN19-like protein [Pisum sativum] (GB:AAU14999.2); contains InterPro domain Stress up-regulated Nod 19 (InterPro:IPR011692)
259013_at,EMB1990 (EMBRYO DEFECTIVE 1990)
257340_at,transposable element gene
253987_at,phosphofructokinase family protein
261241_at,subtilase family protein
256529_at,protein kinase family protein
254791_at,SCPL20 (serine carboxypeptidase-like 20); serine carboxypeptidase
252727_s_at,[AT1G24938_ transposable element gene];[AT4G03979_ transposable element gene];[AT3G43070_ transposable element gene];[AT1G44850_ transposable element gene];[AT2G10390_ transposable element gene];[AT1G35100_ transposable element gene];[AT5G36035_ transposable element gene]
247628_at,unknown protein
264175_at,chalcone and stilbene synthase family protein
260463_at,no_match
266692_at,hAT dimerisation domain-containing protein / transposase-related
259728_at,clathrin adaptor complex small chain family protein
252735_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G54330.1); contains InterPro domain Protein of unknown function DUF295 (InterPro:IPR005174)
252061_at,unknown protein
261649_at,protein binding
252041_at,ATRPB13.6 (Arabidopsis thaliana RNA polymerase II 13.6 kDa subunit); DNA binding / DNA-directed RNA polymerase
251173_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G55350.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22567.1); contains domain PTHR22930 (PTHR22930)
259014_at,glycosyl hydrolase family 17 protein
267496_at,lipase class 3 family protein
245792_at,pinoresinol-lariciresinol reductase_ putative
256906_at,pentatricopeptide (PPR) repeat-containing protein
254079_at,FtsJ-like methyltransferase family protein
249929_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO48701.1)
265146_at,UDP-glucoronosyl/UDP-glucosyl transferase family protein
253362_s_at,[AT4G33110_ coclaurine N-methyltransferase_ putative];[AT4G33120_ coclaurine N-methyltransferase_ putative]
264087_at,EMB1381 (EMBRYO DEFECTIVE 1381)
253065_at,AtGRF2 (GROWTHREGULATING FACTOR 2)
248970_at,sodium:solute symporter family protein
252258_at,F-box family protein
248333_at,photoassimilate-responsive protein_ putative
255993_at,NLI interacting factor (NIF) family protein
250437_at,AGP4 (ARABINOGALACTAN-PROTEIN 4)
245312_at,Identical to Bet1-like protein At4g14600 [Arabidopsis Thaliana] (GB:Q8VXX9;GB:O23316); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G29060.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO61644.1); contains InterPro domain Target SNARE coiled-coil region (InterPro:IPR000727)
265257_at,succinyl-CoA ligase (GDP-forming) beta-chain_ mitochondrial_ putative / succinyl-CoA synthetase_ beta chain_ putative / SCS-beta_ putative
255200_at,transposable element gene
246057_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G29400.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO65989.1)
246118_at,BG5 (BETA-1_3-GLUCANASE 5); hydrolase_ hydrolyzing O-glycosyl compounds
261604_at,formin-binding protein-related
261864_s_at,[AT1G50480_ THFS (10-FORMYLTETRAHYDROFOLATE SYNTHETASE); ATP binding / formate-tetrahydrofolate ligase];[AT2G12280_ ligase_ putative];[AT2G12200_ ligase_ putative]
254691_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G35260.1); similar to hypothetical protein 40.t00061 [Brassica oleracea] (GB:ABD65174.1)
247424_at,ATVEX1 (VEGETATIVE CELL EXPRESSED1)
255683_at,malate oxidoreductase_ putative
249638_at,acetyl-CoA synthetase_ putative / acetate-CoA ligase_ putative
267082_at,CRK1 (CDPK-RELATED KINASE 1); calcium ion binding / calcium-dependent protein serine/ Threonine phosphatase/ kinase
263898_at,SKIP6 (SKP1 INTERACTING PARTNER 6); ubiquitin-protein ligase
255256_at,F-box family protein
245345_at,matrix metalloproteinase_ putative
265388_s_at,[AT2G21010_ C2 domain-containing protein];[AT2G20990_ ATSYTA/ NTMC2T1.1/ NTMC2TYPE1.1/ SYTA]
263613_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G32020.1)
261346_at,aspartyl protease family protein
265128_at,protein binding / zinc ion binding
257369_at,ATBPC7/BBR/BPC7/BPC7 (BASIC PENTACYSTEINE 7); DNA binding / transcription factor
251333_at,nucleotidyltransferase
262630_at,ATGPAT1/GPAT1 (GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE 1); 1-acylglycerol-3-phosphate O-acyltransferase/ acyltransferase
256534_at,patatin-related
264533_s_at,[AT1G55730_ ATCAX5 (calcium exchanger 5); cation:cation antiporter];[AT1G55720_ ATCAX6 (calcium exchanger 6); cation:cation antiporter]
261321_at,unknown protein
265941_s_at,[AT2G19490_ recA family protein];[AT3G32920_ recA family protein]
250510_at,RPB15.9 (RNA polymerase II 15.9)
250875_at,calmodulin-binding protein-related (PICBP)
249357_at,RNA recognition motif (RRM)-containing protein
259636_at,pseudouridine synthase family protein
259369_s_at,[AT3G43890_ DC1 domain-containing protein];[AT1G69150_ DC1 domain-containing protein]
254131_at,AFC2 (ARABIDOPSIS FUS3-COMPLEMENTING GENE 1); kinase
249690_at,serine-type peptidase
246458_at,pentatricopeptide (PPR) repeat-containing protein
264955_at,F-box family protein (FBX3)
248072_at,glycine-rich protein
245623_s_at,[AT4G14096_ F-box family protein];[AT4G14103_ F-box family protein]
264947_at,DNAJ heat shock N-terminal domain-containing protein
249435_at,catalytic
261437_at,ATRAD51D/RAD51D/ SSN1 (ARABIDOPSIS HOMOLOG OF RAD51 D); DNA binding
260548_at,BIO2 (BIOTIN AUXOTROPH 2); biotin synthase
246552_at,unknown protein
267617_at,HY1 (HEME OXYGENASE 1)
261267_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO68449.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN72786.1)
255407_at,ankyrin repeat family protein
256786_at,URF 4-related
251224_at,sucrose-phosphatase-related
251712_at,Met-10+ like family protein
267440_at,transferase family protein
264435_at,ATGSTU18 (GLUTATHIONE S-TRANSFERASE 29); glutathione transferase
247891_at,GTP-binding family protein
253176_at,no_match
258745_at,heavy-metal-associated domain-containing protein
256087_at,Pseudogene of F-box family protein
254568_x_at,[AT1G35090_ transposable element gene];[AT4G19300_ transposable element gene]
266644_at,zinc finger (C2H2 type) family protein
253565_at,SWAP (Suppressor-of-White-APricot)/ Surp domain-containing protein
248701_at,ATGLR1.3 (Arabidopsis thaliana glutamate receptor 1.3)
251375_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G25370.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41620.1); contains InterPro domain Protein of unknown function DUF1639 (InterPro:IPR012438)
251101_at,ATCHX26 (cation/hydrogen exchanger 26); monovalent cation:proton antiporter
248404_at,ATTPPA (Arabidopsis thaliana trehalose-6-phosphate phosphatase); trehalose-phosphatase
253995_at,CK1 (casein kinase 1-like protein 1); casein kinase I/ kinase
246805_at,AGL101; transcription factor
247812_at,peroxidase_ putative
252030_at,similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT3G52680.1); similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT3G52680.2); similar to hypothetical protein [Vitis vinifera] (GB:CAN74740.1); contains InterPro domain Leucine-rich repeat 2 (InterPro:IPR013101); contains InterPro domain FBD (InterPro:IPR013596); contains InterPro domain FBD-like (InterPro:IPR006566)
248025_at,NOI
248842_at,similar to unknown [Populus trichocarpa] (GB:ABK96208.1); contains InterPro domain PIG-X/PBN1 (InterPro:IPR013233)
261906_at,OXA1 family protein
254200_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO62924.1)
251355_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G61090.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO40196.1); contains InterPro domain Protein of unknown function DUF537 (InterPro:IPR007491)
267439_at,GDSL-motif lipase/hydrolase family protein
266256_at,60S acidic ribosomal protein P2 (RPP2B)
256173_at,RWD domain-containing protein
258031_s_at,[AT3G27480_ DC1 domain-containing protein];[AT3G27490_ DC1 domain-containing protein]
257554_at,ATVAMP728 (Arabidopsis thaliana vesicle-associated membrane protein 728)
246125_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G31940.1); similar to hypothetical protein MtrDRAFT_AC155880g29v2 [Medicago truncatula] (GB:ABN08129.1)
264099_at,DNA repair protein recA
259162_at,GHMP kinase family protein
250962_at,kelch repeat-containing F-box family protein
253305_at,unknown protein
258932_at,ATPAP16/PAP16 (purple acid phosphatase 16); acid phosphatase/ protein serine/ Threonine phosphatase
260423_at,ATEXO70D1 (exocyst subunit EXO70 family protein D1); protein binding
252857_at,kelch repeat-containing F-box family protein
255632_at,actin-depolymerizing factor_ putative
264457_at,UDP-glycosyltransferase/ transferase_ transferring glycosyl groups
259342_at,FMN binding
261776_at,auxin-responsive family protein
255238_at,transposable element gene
AFFX-ThrX-M_at,no_match
263325_at,XERICO; protein binding / zinc ion binding
255100_at,no_match
267388_at,glycosyl hydrolase family 1 protein
250750_at,UGT76C1 (UDP-GLUCOSYL TRANSFERASE 76C1); UDP-glycosyltransferase/ transferase_ transferring glycosyl groups
248531_at,embryogenesis-associated protein-related
260908_at,MEA (MEDEA); transcription factor
247093_at,SHI (SHORT INTERNODES); transcription factor
251487_at,OASC (O-ACETYLSERINE (THIOL) LYASE ISOFORM C); cysteine synthase
247085_at,kinesin motor family protein
252924_at,zinc finger (B-box type) family protein
261428_at,ICS2; isochorismate synthase
248352_at,LTI65/RD29B (RESPONSIVE TO DESSICATION 29B)
246870_at,FC1 (FERROCHELATASE 1); ferrochelatase
264208_at,PAB3 (POLY(A) BINDING PROTEIN 3); RNA binding
253670_at,similar to unknown [Populus trichocarpa x Populus deltoides] (GB:ABK96249.1)
254390_at,CPK15 (calcium-dependent protein kinase 15); calmodulin-dependent protein kinase/ kinase
266887_at,CHL-CPN10 (chloroplast chaperonin 10)
262628_at,ATGSL07 (GLUCAN SYNTHASE-LIKE 7); 1_3-beta-glucan synthase/ transferase_ transferring glycosyl groups
263644_at,pseudogene_ F-box protein-related_ contains TIGRFAM TIGR01640 : F-box protein interaction domain; similar to  F-box protein family_ AtFBX9 (GI:20197985) (Arabidopsis thaliana)
250800_at,ubiquinol-cytochrome C reductase complex ubiquinone-binding protein_ putative / ubiquinol-cytochrome C reductase complex 8.2 kDa protein_ putative
266027_at,transposable element gene
245277_at,IAGLU (INDOLE-3-ACETATE BETA-D-GLUCOSYLTRANSFERASE); UDP-glycosyltransferase/ transferase_ transferring glycosyl groups
245433_at,pleckstrin homology (PH) domain-containing protein
249775_at,squalene monooxygenase 1_2 / squalene epoxidase 1_2 (SQP1_2)
253745_at,reverse transcriptase_ putative / RNA-dependent DNA polymerase_ putative
245865_at,no_match
260951_at,EMB1444 (EMBRYO DEFECTIVE 1444)
266464_at,ATMRP4 (Arabidopsis thaliana multidrug resistance-associated protein 4)
247210_at,ANNAT2 (ANNEXIN ARABIDOPSIS 2); calcium ion binding / calcium-dependent phospholipid binding
262787_at,clathrin adaptor complexes medium subunit family protein
258442_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G15510.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO15061.1); contains InterPro domain Targeting for Xklp2 (InterPro:IPR009675)
252605_s_at,[AT3G45070_ sulfotransferase family protein];[AT3G45080_ sulfotransferase family protein]
248290_at,no_match
251892_at,WRI1 (WRINKLED 1); DNA binding / transcription factor
248171_at,ILR3 (IAA-LEUCINE RESISTANT3); DNA binding / transcription factor
251647_at,protein kinase_ putative
245117_at,ACA4 (AUTO-INHIBITED CA(2+)-ATPASE_ ISOFORM 4); calcium-transporting ATPase/ calmodulin binding
258309_at,transposable element gene
257278_at,glycine/proline-rich protein
253126_at,endonuclease/exonuclease/phosphatase family protein
257339_s_at,[ATMG00040_ hypothetical protein];[AT2G07671_ H+-transporting two-sector ATPase_ C subunit family protein];[ATMG01080_ subunit 9 of mitochondrial F0-ATPase]
259280_at,PTB (POLYPYRIMIDINE TRACT-BINDING); RNA binding
264105_x_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G24380.1); similar to conserved hypothetical protein [Asparagus officinalis] (GB:ABB55300.1)
260105_at,transposable element gene
247621_at,maoC-like dehydratase domain-containing protein
259120_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G02242.1)
258540_at,DC1 domain-containing protein
256216_at,CRT1 (CALRETICULIN 1); calcium ion binding
249579_at,ATARLA1A (ADP-ribosylation factor-like A1A); GTP binding
250976_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G11100.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G11100.2)
261222_at,family II extracellular lipase_ putative
255091_at,transposable element gene
260097_at,ATOCT1 (ARABIDOPSIS THALIANA ORGANIC CATION/CARNITINE TRANSPORTER1); carbohydrate transmembrane transporter/ carnitine transporter/ transporter
246794_s_at,[AT5G27010_ binding];[AT5G06350_ binding]
263940_at,CPK25 (calcium-dependent protein kinase 25); calmodulin-dependent protein kinase/ kinase
267072_at,no_match
264903_at,phosphoglucomutase_ cytoplasmic_ putative / glucose phosphomutase_ putative
264452_at,GRP23 (GLUTAMINE-RICH PROTEIN23); binding
262853_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G76480.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO43758.1)
264336_at,F-box protein-related
249884_at,ATCHX9 (cation/hydrogen exchanger 9); monovalent cation:proton antiporter
260590_at,ATPPC1 (PHOSPHOENOLPYRUVATE CARBOXYLASE 1); phosphoenolpyruvate carboxylase
260955_at,UDP-glucoronosyl/UDP-glucosyl transferase family protein
254013_at,leucine-rich repeat family protein
266838_at,jacalin lectin family protein
260555_at,unknown protein
245183_at,zinc finger (CCCH-type) family protein
265334_at,protease inhibitor/ Seed storage/lipid transfer protein (LTP) family protein
249312_at,disease resistance protein (TIR-NBS-LRR class)_ putative
249233_at,electron carrier/ protein disulfide oxidoreductase
260258_at,60S ribosomal protein L35a (RPL35aC)
249801_at,CDPK9 (CALCIUM-DEPENDENT PROTEIN KINASE 9); calmodulin-dependent protein kinase/ kinase
244982_at,encodes a chloroplast ribosomal protein L14_ a constituent of the large subunit of the ribosomal complex
249931_at,EMB1705/QQT1 (QUATRE-QUART1); ATP binding
255643_at,no_match
261516_at,phosphoribosyltransferase family protein
254816_at,APT4; adenine phosphoribosyltransferase
249715_at,beta-galactosidase
245840_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G10140.1); contains InterPro domain Uncharacterised conserved protein UCP031279 (InterPro:IPR016972)
264515_at,similar to RXW8 [Arabidopsis thaliana] (TAIR:AT1G58520.1); similar to hypothetical protein OsI_012954 [Oryza sativa (indica cultivar-group)] (GB:EAY91721.1); similar to hypothetical protein OsJ_011922 [Oryza sativa (japonica cultivar-group)] (GB:EAZ28439.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO61522.1); contains InterPro domain Protein of unknown function DUF221; (InterPro:IPR003864)
256321_at,LOX1 (Lipoxygenase 1); lipoxygenase
256811_at,leucine-rich repeat protein kinase_ putative
250573_at,unknown protein
257720_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G18460.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO68031.1); contains InterPro domain Protein of unknown function Cys-rich (InterPro:IPR006461)
264796_at,ZIGA4 (ARF GAP-LIKE ZINC FINGER-CONTAINING PROTEIN ZIGA4); DNA binding
259203_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G42786.1)
257647_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO42121.1)
258666_at,ABI8/ELD1/KOB1 (KOBITO)
258923_at,SCPL7; serine carboxypeptidase
245853_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G25265.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42819.1)
266144_at,unknown protein
252265_at,DIN11 (DARK INDUCIBLE 11); oxidoreductase
261691_at,pathogenesis-related protein_ putative
247935_at,ribosomal protein S16 family protein
246269_at,protein binding / zinc ion binding
245651_s_at,[AT1G24881_ Identical to F-box/Kelch-repeat protein At1g24795/At1g24885/At1g25056/At1g25143/At1g25215 [Arabidopsis Thaliana] (GB:Q9FXK7); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G25211.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G24800.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G25055.1); similar to class S F-box protein [Nicotiana alata] (GB:ABR18788.1); contains InterPro domain Cyclin-like F-box (InterPro:IPR001810); contains InterPro domain F-box associated type 1 (InterPro:IPR006527)];[AT1G24800_ Identical to F-box/Kelch-repeat protein At1g24795/At1g24885/At1g25056/At1g25143/At1g25215 [Arabidopsis Thaliana] (GB:Q9FXK7); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G24881.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G25211.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G25055.1); similar to class S F-box protein [Nicotiana alata] (GB:ABR18788.1); contains InterPro domain Cyclin-like F-box (InterPro:IPR001810); contains InterPro domain F-box associated type 1 (InterPro:IPR006527)];[AT1G25055_ Identical to F-box/Kelch-repeat protein At1g24795/At1g24885/At1g25056/At1g25143/At1g25215 [Arabidopsis Thaliana] (GB:Q9FXK7); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G24881.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G25211.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G24800.1); similar to class S F-box protein [Nicotiana alata] (GB:ABR18788.1); contains InterPro domain Cyclin-like F-box (InterPro:IPR001810); contains InterPro domain F-box associated type 1 (InterPro:IPR006527)];[AT1G25141_ UDP-3-0-acyl N-acetylglucosamine deacetylase family protein / F-box protein-related];[AT1G25211_ Identical to F-box/Kelch-repeat protein At1g24795/At1g24885/At1g25056/At1g25143/At1g25215 [Arabidopsis Thaliana] (GB:Q9FXK7); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G24881.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G24800.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G25055.1); similar to class S F-box protein [Nicotiana alata] (GB:ABR18788.1); contains InterPro domain Cyclin-like F-box (InterPro:IPR001810); contains InterPro domain F-box associated type 1 (InterPro:IPR006527)]
257733_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G48840.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO68070.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAT01350.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN84081.1); contains InterPro domain Protein of unknown function DUF639 (InterPro:IPR006927)
259937_s_at,[AT3G13080_ ATMRP3 (Arabidopsis thaliana multidrug resistance-associated protein 3)];[AT1G71330_ ATNAP5 (Arabidopsis thaliana non-intrinsic ABC protein 5)]
266086_at,transporter-related
262855_at,phosphate transporter family protein
264917_at,dynamin family protein
248209_at,glycosyltransferase family protein
249818_at,TUB8 (tubulin beta-8)
246370_at,unknown protein
247688_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G28690.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO21721.1); contains InterPro domain Protein of unknown function DUF1635 (InterPro:IPR012862)
262210_at,IQD31 (IQ-domain 31); calmodulin binding
261250_at,zinc finger protein-related
253821_at,leucine-rich repeat family protein
255209_at,transposable element gene
258220_at,DNAJ heat shock family protein
246821_at,calmodulin binding
248330_at,ornithine cyclodeaminase/mu-crystallin family protein
256393_at,similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT1G47730.1); contains InterPro domain F-box associated type 3 (InterPro:IPR013187)
262409_at,transposable element gene
256375_at,S-adenosyl-L-methionine:carboxyl methyltransferase family protein
253445_at,transcription factor
254846_at,PLDGAMMA2; phospholipase D
255675_at,ATMYC1 (Arabidopsis thaliana myc-related transcription factor 1); DNA binding / transcription factor
266579_at,SNRNP-G (PROBABLE SMALL NUCLEAR RIBONUCLEOPROTEIN G)
262825_at,ADT1 (AROGENATE DEHYDRATASE 1); arogenate dehydratase/ prephenate dehydratase
249923_at,aspartic-type endopeptidase/ pepsin A
245481_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G28720.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO44926.1)
262590_at,RHA2A (RING-H2 finger A2A); protein binding / zinc ion binding
247848_at,disease resistance protein (TIR-NBS-LRR class)_ putative
245236_at,MSH3 (ARABIDOPSIS HOMOLOG OF DNA MISMATCH REPAIR PROTEIN MSH3)
245544_at,glucosyltransferase-related
260080_at,APUM7 (ARABIDOPSIS PUMILIO 7); RNA binding
244992_s_at,[ATCG00900_ encodes a chloroplast ribosomal protein S7_ a constituent of the small subunit of the ribosomal complex];[ATCG01240_ 30S chloroplast ribosomal protein S7]
266153_at,transposable element gene
258211_at,unknown protein
262270_x_at,[AT1G42375_ transposable element gene];[AT1G42365_ transposable element gene];[AT4G06626_ transposable element gene];[AT1G40117_ transposable element gene];[AT3G43304_ transposable element gene];[AT2G13390_ transposable element gene];[AT3G30668_ transposable element gene];[AT5G32426_ transposable element gene]
246181_at,pectinesterase family protein
262226_at,[AT1G53885_ senescence-associated protein-related];[AT1G53903_ similar to senescence-associated protein-related [Arabidopsis thaliana] (TAIR:AT1G53885.1); similar to Protein of unknown function DUF581 [Medicago truncatula] (GB:ABO84791.1); contains InterPro domain Protein of unknown function DUF581 (InterPro:IPR007650)]
259197_at,peroxidase_ putative
250450_at,MYB92 (myb domain protein 92); DNA binding / transcription factor
245996_at,transposable element gene
265875_at,binding
255006_at,protein kinase family protein
259122_at,COBL1 (COBRA-LIKE PROTEIN 1 PRECURSOR)
251701_at,thylakoid lumenal 20 kDa protein
261537_at,short-chain dehydrogenase/reductase (SDR) family protein
263414_at,bZIP family transcription factor
257022_at,AZF2 (ARABIDOPSIS ZINC-FINGER PROTEIN 2); nucleic acid binding / transcription factor/ zinc ion binding
259591_at,Identical to UPF0426 protein At1g28150_ chloroplast precursor [Arabidopsis Thaliana] (GB:Q9FZ89;GB:Q8LET5); similar to unknown [Populus trichocarpa] (GB:ABK94413.1)
252988_at,dehydrin_ putative
258028_at,DC1 domain-containing protein
267006_at,xanthine/uracil permease family protein
255515_at,invertase/pectin methylesterase inhibitor family protein
262218_at,protein binding / zinc ion binding
261116_at,SEC14 cytosolic factor_ putative / phosphatidylinositol transfer-like protein_ putative
251319_at,aldose 1-epimerase family protein
249349_at,MYB24 (myb domain protein 24); DNA binding / transcription factor
248914_at,AtRABA1c (Arabidopsis Rab GTPase homolog A1c); GTP binding
246841_at,germin-like protein_ putative
262372_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G17780.2); similar to hypothetical protein [Vitis vinifera] (GB:CAN66610.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39378.1)
257108_x_at,transposable element gene
247343_at,zinc finger protein-related
247072_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G50900.1); similar to hypothetical protein [Thellungiella halophila] (GB:ABB45855.1)
251635_at,ADPG1 (endo-polygalacturonase 1); polygalacturonase
266323_at,calcium-dependent protein kinase_ putative / CDPK_ putative
263113_at,GCN5-related N-acetyltransferase (GNAT) family protein
253036_at,RWP-RK domain-containing protein
246992_at,GCN5-related N-acetyltransferase (GNAT) family protein
264449_at,NPGR1 (NO POLLEN GERMINATION RELATED 1); calmodulin binding
259479_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G48180.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO40966.1)
258073_at,auxin-resistance protein_ putative
264701_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G54870.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G27020.1); similar to unknown [Picea sitchensis] (GB:ABK24649.1); similar to hypothetical protein OsI_030218 [Oryza sativa (indica cultivar-group)] (GB:EAZ08986.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO40967.1)
260499_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO23603.1); contains domain PTHR13035 (PTHR13035)
262439_at,F-box family protein
253545_at,avirulence-responsive protein-related / avirulence induced gene (AIG) protein-related
252103_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G35680.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23714.1); contains InterPro domain Protein of unknown function DUF241_ plant (InterPro:IPR004320)
247039_at,ATEB1C (MICROTUBULE END BINDING PROTEIN 1); microtubule binding
263601_s_at,[AT4G34570_ THY-2 (THYMIDYLATE SYNTHASE 2)];[AT2G16370_ THY-1 (THYMIDYLATE SYNTHASE 1)]
254958_at,NDPK3 (NUCLEOSIDE DIPHOSPHATE KINASE 3); ATP binding / nucleoside diphosphate kinase
254290_at,protein serine/ Threonine phosphatase
261834_at,polygalacturonase_ putative / pectinase_ putative
265295_at,no_match
252116_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO14460.1)
265542_at,SYD (SPLAYED)
259481_at,GLP4 (GERMIN-LIKE PROTEIN 4); manganese ion binding / metal ion binding / nutrient reservoir
259179_at,methyltransferase
252990_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN83259.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:BAD61853.1); similar to hypothetical protein OsI_022655 [Oryza sativa (indica cultivar-group)] (GB:EAZ01423.1); contains InterPro domain RNA polymerase II-associated protein 1_ N-terminal (InterPro:IPR013930); contains InterPro domain RNA polymerase II-associated protein 1_ C-terminal (InterPro:IPR013929)
